country_name,date,parameter,product,value,unit
Colombia,5/1/2021,Net Electricity Production,Geothermal,0,GWh
Colombia,5/1/2021,Net Electricity Production,Other Renewables,0,GWh
Colombia,5/1/2021,Net Electricity Production,Not Specified,0,GWh
Colombia,5/1/2021,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5140.5843,GWh
Colombia,5/1/2021,Total Imports,Electricity,15.5413,GWh
Colombia,5/1/2021,Total Exports,Electricity,1.1106,GWh
Colombia,5/1/2021,Used for pumped storage,Electricity,0,GWh
Colombia,5/1/2021,Distribution Losses,Electricity,419.6123,GWh
Colombia,5/1/2021,Final Consumption (Calculated),Electricity,6041.9297,GWh
Costa Rica,5/1/2021,Net Electricity Production,Electricity,1105.6505,GWh
Costa Rica,5/1/2021,Net Electricity Production,Total Combustible Fuels,2.8307,GWh
Costa Rica,5/1/2021,Net Electricity Production,Oil and Petroleum Products,0.6031,GWh
Costa Rica,5/1/2021,Net Electricity Production,Combustible Renewables,2.2276,GWh
Costa Rica,5/1/2021,Net Electricity Production,Hydro,798.0666,GWh
Costa Rica,5/1/2021,Net Electricity Production,Wind,148.0768,GWh
Costa Rica,5/1/2021,Net Electricity Production,Solar,6.46,GWh
Costa Rica,5/1/2021,Net Electricity Production,Geothermal,150.2164,GWh
Costa Rica,5/1/2021,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",1105.0474,GWh
Costa Rica,5/1/2021,Total Exports,Electricity,136.4634,GWh
Costa Rica,5/1/2021,Distribution Losses,Electricity,108.0822,GWh
Costa Rica,5/1/2021,Final Consumption (Calculated),Electricity,861.1048,GWh
Czech Republic,5/1/2021,Net Electricity Production,Electricity,5440.8034,GWh
Czech Republic,5/1/2021,Net Electricity Production,Nuclear,2288.8521,GWh
Czech Republic,5/1/2021,Net Electricity Production,Total Combustible Fuels,2462.8866,GWh
Czech Republic,5/1/2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",1684.0386,GWh
Czech Republic,5/1/2021,Net Electricity Production,Oil and Petroleum Products,5.6468,GWh
Czech Republic,5/1/2021,Net Electricity Production,Natural Gas,339.0999,GWh
Czech Republic,5/1/2021,Net Electricity Production,Combustible Renewables,427.5883,GWh
Czech Republic,5/1/2021,Net Electricity Production,Other Combustible Non-Renewables,6.5131,GWh
Czech Republic,5/1/2021,Net Electricity Production,Hydro,336.0584,GWh
Czech Republic,5/1/2021,Net Electricity Production,Wind,71.7869,GWh
Czech Republic,5/1/2021,Net Electricity Production,Solar,269.6764,GWh
Czech Republic,5/1/2021,Net Electricity Production,Geothermal,0,GWh
Czech Republic,5/1/2021,Net Electricity Production,Other Renewables,0,GWh
Czech Republic,5/1/2021,Net Electricity Production,Not Specified,11.543,GWh
Czech Republic,5/1/2021,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",1105.1099,GWh
Czech Republic,5/1/2021,Total Imports,Electricity,1150.6619,GWh
Czech Republic,5/1/2021,Total Exports,Electricity,1208.0752,GWh
Czech Republic,5/1/2021,Used for pumped storage,Electricity,98.3744,GWh
Czech Republic,5/1/2021,Distribution Losses,Electricity,263.1471,GWh
Czech Republic,5/1/2021,Final Consumption (Calculated),Electricity,5021.8687,GWh
Denmark,5/1/2021,Net Electricity Production,Electricity,2191.9246,GWh
Denmark,5/1/2021,Net Electricity Production,Nuclear,0,GWh
Denmark,5/1/2021,Net Electricity Production,Total Combustible Fuels,950.7424,GWh
Denmark,5/1/2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",178.2356,GWh
Denmark,5/1/2021,Net Electricity Production,Oil and Petroleum Products,16.128,GWh
Denmark,5/1/2021,Net Electricity Production,Natural Gas,92.7508,GWh
Denmark,5/1/2021,Net Electricity Production,Combustible Renewables,600.3184,GWh
Denmark,5/1/2021,Net Electricity Production,Other Combustible Non-Renewables,63.3097,GWh
Denmark,5/1/2021,Net Electricity Production,Hydro,1.4698,GWh
Denmark,5/1/2021,Net Electricity Production,Wind,1078.8907,GWh
Denmark,5/1/2021,Net Electricity Production,Solar,160.8217,GWh
Denmark,5/1/2021,Net Electricity Production,Geothermal,0,GWh
Denmark,5/1/2021,Net Electricity Production,Other Renewables,0,GWh
Denmark,5/1/2021,Net Electricity Production,Not Specified,0,GWh
Denmark,5/1/2021,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",1841.5006,GWh
Denmark,5/1/2021,Total Imports,Electricity,1990.7773,GWh
Denmark,5/1/2021,Total Exports,Electricity,1251.0964,GWh
Denmark,5/1/2021,Used for pumped storage,Electricity,0,GWh
Denmark,5/1/2021,Distribution Losses,Electricity,144.8043,GWh
Denmark,5/1/2021,Final Consumption (Calculated),Electricity,2786.8012,GWh
Estonia,5/1/2021,Net Electricity Production,Electricity,394.6832,GWh
Estonia,5/1/2021,Net Electricity Production,Nuclear,0,GWh
Estonia,5/1/2021,Net Electricity Production,Total Combustible Fuels,290.8382,GWh
Estonia,5/1/2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",198.3174,GWh
Estonia,5/1/2021,Net Electricity Production,Oil and Petroleum Products,1.7417,GWh
Estonia,5/1/2021,Net Electricity Production,Natural Gas,1.9732,GWh
Estonia,5/1/2021,Net Electricity Production,Combustible Renewables,84.4087,GWh
Estonia,5/1/2021,Net Electricity Production,Other Combustible Non-Renewables,4.3972,GWh
Estonia,5/1/2021,Net Electricity Production,Hydro,2.7512,GWh
Estonia,5/1/2021,Net Electricity Production,Wind,48.5045,GWh
Estonia,5/1/2021,Net Electricity Production,Solar,52.5892,GWh
Estonia,5/1/2021,Net Electricity Production,Geothermal,0,GWh
Estonia,5/1/2021,Net Electricity Production,Other Renewables,0,GWh
Estonia,5/1/2021,Net Electricity Production,Not Specified,0,GWh
Estonia,5/1/2021,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",188.2536,GWh
Estonia,5/1/2021,Total Imports,Electricity,545.9582,GWh
Estonia,5/1/2021,Total Exports,Electricity,252.0217,GWh
Estonia,5/1/2021,Used for pumped storage,Electricity,0,GWh
Estonia,5/1/2021,Distribution Losses,Electricity,32.773,GWh
Estonia,5/1/2021,Final Consumption (Calculated),Electricity,655.8467,GWh
Finland,5/1/2021,Net Electricity Production,Electricity,5148.2494,GWh
Finland,5/1/2021,Net Electricity Production,Nuclear,1499.4157,GWh
Finland,5/1/2021,Net Electricity Production,Total Combustible Fuels,1416.5672,GWh
Finland,5/1/2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",288.2067,GWh
Finland,5/1/2021,Net Electricity Production,Oil and Petroleum Products,11.0149,GWh
Finland,5/1/2021,Net Electricity Production,Natural Gas,139.8413,GWh
Finland,5/1/2021,Net Electricity Production,Combustible Renewables,939.5474,GWh
Finland,5/1/2021,Net Electricity Production,Other Combustible Non-Renewables,37.9569,GWh
Finland,5/1/2021,Net Electricity Production,Hydro,1625.0104,GWh
Finland,5/1/2021,Net Electricity Production,Wind,530.8344,GWh
Finland,5/1/2021,Net Electricity Production,Solar,58.8385,GWh
Finland,5/1/2021,Net Electricity Production,Geothermal,0,GWh
Finland,5/1/2021,Net Electricity Production,Other Renewables,0,GWh
Finland,5/1/2021,Net Electricity Production,Not Specified,17.5833,GWh
Finland,5/1/2021,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",3154.2306,GWh
Finland,5/1/2021,Total Imports,Electricity,1900.6411,GWh
Finland,5/1/2021,Total Exports,Electricity,488.8046,GWh
Finland,5/1/2021,Used for pumped storage,Electricity,0,GWh
Finland,5/1/2021,Distribution Losses,Electricity,239.3441,GWh
Finland,5/1/2021,Final Consumption (Calculated),Electricity,6320.7418,GWh
France,5/1/2021,Net Electricity Production,Electricity,42569.0773,GWh
France,5/1/2021,Net Electricity Production,Nuclear,27574.674,GWh
France,5/1/2021,Net Electricity Production,Total Combustible Fuels,2887.0573,GWh
France,5/1/2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",128.9481,GWh
France,5/1/2021,Net Electricity Production,Oil and Petroleum Products,447.113,GWh
France,5/1/2021,Net Electricity Production,Natural Gas,1324.3775,GWh
France,5/1/2021,Net Electricity Production,Combustible Renewables,811.2123,GWh
France,5/1/2021,Net Electricity Production,Other Combustible Non-Renewables,175.4064,GWh
France,5/1/2021,Net Electricity Production,Hydro,6340.4556,GWh
France,5/1/2021,Net Electricity Production,Wind,3951.8568,GWh
France,5/1/2021,Net Electricity Production,Solar,1724.0206,GWh
France,5/1/2021,Net Electricity Production,Geothermal,7.5307,GWh
